Date,EqualWeight,Markowitz,BlackLitterman
2025-09-23,-0.0158080166363207,-0.011969066884920387,-0.01097267295225246
2025-09-24,-0.014147823044092456,-0.016356577936101013,-0.01461925037078915
2025-09-25,-0.022323614049961304,-0.015271612472706142,-0.016946587600394025
2025-09-26,-0.015358230198079803,-0.011048382311061977,-0.011624692445116103
2025-09-29,-0.0112323129339299,-0.009301955889906455,-0.011114412301350796
2025-09-30,-0.009963194449045143,-0.003573202032856826,-0.011104227220664176
2025-10-01,-0.0053908017077903825,0.0,-0.005033506969106316
2025-10-02,-0.008016601685863045,-0.0011139047381317768,-0.006860937149028468
2025-10-03,-0.015299985099303304,-0.002710386517064789,-0.007862511259708493
2025-10-06,-0.002056021054622992,0.0,0.0
2025-10-07,-0.012740405754350315,-0.010515678788260097,-0.009220646457549053
2025-10-08,-0.004236730917191012,-0.003304205329968446,-0.0053399045594040295
2025-10-09,-0.0026354673491616465,-0.009267200121162777,-0.012530651117197089
2025-10-10,-0.04036908605136358,-0.04375878437919334,-0.042434470523907364
2025-10-13,-0.018153878671982815,-0.021940136410307898,-0.026029438105512503
2025-10-14,-0.029520436016349905,-0.031161227784754497,-0.02811128989743683
2025-10-15,-0.022557249635448695,-0.022834058754346298,-0.021355441686840337
2025-10-16,-0.026166647191297354,-0.02480289604703456,-0.025491072649406643
2025-10-17,-0.017366535166014052,-0.011748318365775168,-0.017323599042387228
2025-10-20,-0.0017488300933062861,0.0,0.0
2025-10-21,-0.003430433298082791,-0.0071977643609401065,-0.0014210780306312953
2025-10-22,-0.00872789406098784,-0.013427672252143918,-0.0056839437581158725
2025-10-23,-0.00046121520005271144,-0.006142878325516299,-6.712610259884677e-05
2025-10-24,0.0,0.0,0.0
2025-10-27,0.0,0.0,0.0
2025-10-28,0.0,0.0,0.0
2025-10-29,0.0,0.0,0.0
2025-10-30,-0.029968012710953063,-0.0038797087742500347,-0.009166120366281616
2025-10-31,-0.018308293621975058,-0.0034806941273003433,-8.142486864570753e-05
2025-11-03,-0.007959653888728213,0.0,0.0
2025-11-04,-0.029091106704534186,-0.0175758959728044,-0.011133667701557881
2025-11-05,-0.02206122270933053,-0.012860770412803979,-0.007305875108391313
2025-11-06,-0.04253093251128803,-0.025977373418529015,-0.019537984355766036
2025-11-07,-0.04970432440978112,-0.035948567886571525,-0.026830281135666545
2025-11-10,-0.023850368021359425,-0.008672687377624722,-0.006754561538388271
2025-11-11,-0.026041409576954333,-0.006718078978474651,0.0
2025-11-12,-0.03760546650377816,-0.013569332583325044,-0.007531566504292542
2025-11-13,-0.06146826933092309,-0.03613550693341583,-0.026764036613087572
2025-11-14,-0.059500996190344324,-0.033105320438721164,-0.02595919707996308
2025-11-17,-0.06215372974184652,-0.03594949251482571,-0.02566730631953218
2025-11-18,-0.07930255374824624,-0.04654920252306871,-0.04173277405965958
2025-11-19,-0.07348056453261065,-0.03365532938630256,-0.03791486031714164
2025-11-20,-0.08885953831294346,-0.04918044052031012,-0.05198849441365705
2025-11-21,-0.08280008864398103,-0.03897062724149569,-0.042108443755213054
2025-11-24,-0.052772856261205314,-0.008342079763132726,-0.016122642914429886
2025-11-25,-0.04517994358386945,-0.007870378925852961,-0.007509946717485949
2025-11-26,-0.04058816308822022,-0.003188450622375605,-0.003022318019382797
2025-11-28,-0.03380489688984312,-0.002856694806639193,0.0
2025-12-01,-0.03431026543947491,0.0,-0.002941432423789303
2025-12-02,-0.02892571161264723,0.0,0.0
2025-12-03,-0.03029923612471974,-0.00022872257227779524,-0.006070895439027502
2025-12-04,-0.023803164530623033,0.0,-0.009419523713290134
2025-12-05,-0.02031291659613721,-0.0004662274083998552,-0.006710998154369818
2025-12-08,-0.02700202414913022,-0.005148666720416362,-0.010917331728711788
2025-12-09,-0.025672455349313283,-0.0028276731543110945,-0.007178357297166205
2025-12-10,-0.02532447771495272,-0.001018984174278037,-0.009181252427017061
2025-12-11,-0.03156777855504678,-0.010689129856349178,-0.01348439095587195
2025-12-12,-0.03928444629968264,-0.017451766643054256,-0.01967213244550703
2025-12-15,-0.03839824915106527,-0.019244644189955307,-0.026853975462970636
2025-12-16,-0.031046061212633314,-0.014659581588584714,-0.024845166759891124
2025-12-17,-0.05105431465587873,-0.03796593442772489,-0.03797174896823263
2025-12-18,-0.032323837222225316,-0.024620998812257322,-0.023138523176682524
2025-12-19,-0.024874725534051345,-0.011432046919493954,-0.016965457574448006
2025-12-22,-0.019850526247706002,-0.008674522014216035,-0.016683815004966185
2025-12-23,-0.010207511519070178,0.0,-0.009002230877273698
2025-12-24,-0.00902565594177529,0.0,-0.006947511734051837
2025-12-26,-0.011943754607381951,-0.001119867340429348,-0.00904575425961407
2025-12-29,-0.0194942885536733,-0.006637843218644357,-0.01117253091134729
2025-12-30,-0.019875678722487078,-0.009183315671044245,-0.01170669533751445
